,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-01-01,125021.14549732054,191545.84018457687,107876.98800165349,155482.53704266058,171562.64023260179,112965.76396023076,118817.99581409515,198186.87176847475,135019.0463383932,178019.88545654403,177987.77848065898,129963.01448537676,163304.18487062302,155700.31138299947,196973.81903267125,135672.81249498526,170656.92712293143,124863.1390496478,,128284.1830687214,106557.96264324032,153065.13669646074,99875.27433306978,114080.89355036005,129864.90371316519,117057.70453461025,111478.45378461869,153847.6894145785,,133922.05758030753,135987.26217459736,109582.79066263232,100947.64340209957,123020.45628564716,87671.48338922272,87844.36069951925,100111.47800762318,74656.53414992012,124189.16059618462,,164857.96641480704,86191.3100563216,98382.04158654474,90436.51097411258,149150.81095422624,,82874.83848196379,110902.12133555648,117514.91171770725,92656.97433211777,107657.5495467792
2000-02-01,125344.65423044137,192189.68292626704,108110.65959960176,156036.2076066307,172025.11290867624,113027.1524743777,118883.43792950275,198848.55180629104,135263.60552489478,178421.43409621023,178619.76347297174,130067.16775031097,163838.31754638697,155719.7744027214,196882.686851875,136133.71429177004,170750.42719258962,125146.68164626553,,128715.9923444218,106763.50332699533,153043.9069426877,100088.89998115072,114332.7382110261,130062.47637707792,117253.7146216826,111571.45008141367,154186.01683076052,,134531.1236392653,136141.7149753301,109947.37461719077,101123.42958270853,122984.75205301362,87788.65214769474,87796.18408754532,99973.82703573287,74653.33844945698,124113.87521928293,,165486.03240178968,86235.81020656423,98497.35291946717,90454.26383205385,149382.85538596858,,82909.02456315435,110666.49096640653,117702.7641615136,92834.03745983558,107723.33807542943
2000-03-01,125687.64942819887,193059.0282863097,108393.91615453328,156569.20481236174,172466.39331664835,113056.92686547253,119123.02602052489,199635.8466381052,135578.35768994654,178831.04945929316,179318.17227081256,130292.29970564517,164596.1967349604,155960.75635881824,197185.00193295322,136683.91996316888,170897.22208695274,125473.84244959016,,129117.74102012296,106923.22571412969,153152.35838558277,100289.6507066376,114537.95339105463,130265.97225391858,117561.54165869897,111666.29611223983,154495.10265420002,,135170.74318944543,136296.08699778453,110272.90153099806,101241.20974378924,123122.37868749777,87921.58997160109,87794.08821333741,99819.22289936629,74677.46974159301,124161.57518457602,,166141.83768603296,86316.7764087175,98669.99270276522,90558.85365599491,149671.7715901531,,83068.37684011362,110336.7436992149,117876.8688274907,93001.1924744608,107823.10986657707
2000-04-01,126335.79627788802,194946.11784973426,108969.70387566753,157715.53690795708,173444.0641511744,113204.699808758,119600.28455559311,201186.48547833238,136221.06347078402,179657.75798033318,180879.78923482719,130821.91966025108,166221.24566481935,156513.00921361108,197709.4190927508,137509.85494481036,171265.53301821635,126162.65954601439,,130060.79673355173,107283.31086014444,153414.05492600155,100698.75018080352,115008.37907336232,130707.39075414557,118166.40363266999,111894.48816905398,155143.69879478958,,136434.52704779,136477.12929873902,110990.05606520725,101505.07257033106,123320.02369115785,88205.43370800708,87857.41935303244,99349.24303566171,74738.54747277456,124260.61099973616,,167252.90098785318,86517.98482789053,99064.60849847388,90715.20816346619,150332.5164036653,,83358.54898219023,109892.27974887687,118147.13209914444,93362.2427326186,108116.49363278622
2000-05-01,126961.51106592582,197139.57519398266,109590.62888520637,158901.58084944834,174440.72269673727,113300.39988422462,120304.10160620541,202864.97565746596,136949.5795634118,180560.05835090065,182622.82450690152,131450.33029185023,168024.74925286564,157216.7269707883,198736.7079281394,138413.88813358737,172600.30989267855,126922.3973672645,,131095.3482106582,107664.81741320789,153961.69052916605,101118.99777439852,115447.59477575922,131199.1554920733,118862.96230711944,112157.71536360883,155722.10856963464,,137693.83074973014,136749.67429788146,111665.61935584834,101799.36867889883,123714.3410931318,88485.3917185319,88165.60024613008,99122.1589523555,74857.70705390342,124583.54894563802,,168165.9004697415,86785.39640030854,99574.3377362142,90950.8985846939,151086.12527229058,,83748.29529454077,109707.36975772427,118284.18516744369,93761.14751773603,108563.83091990401
2000-06-01,127565.74936482479,199506.30929657878,110224.17244928358,160184.02234794022,175630.22458345487,113407.70296606114,121077.10430908046,204683.58869541928,137603.35022785413,181421.42281813463,184505.024939238,132156.58367138248,169961.95752307563,157848.4918285998,199896.8710748936,139368.9111049861,174071.82293802482,127727.46373892896,,132291.48571810243,108080.40125906999,154623.8136995556,101550.89860914917,115931.398664765,131722.2726174509,119513.3466109434,112418.95665971062,156258.99041551995,,138653.3247074896,136953.41807326584,112424.03773128045,102155.18446606792,124177.14197067819,88754.173740852,88606.52161523531,99189.23479533744,75055.65830284382,124978.23365387907,,169070.2048315062,87079.36062344794,100137.6207868865,91216.75161751993,151917.5490095905,,84117.78315365543,109580.66767587581,118365.2894004655,94163.78097756881,109118.88334946934
2000-07-01,128299.23052776174,202005.74955628102,110860.7287707838,161336.93270232106,176976.2556382663,113478.21769309203,121978.91511356567,206835.68405763383,138268.17079007768,182357.2061229697,186412.17856272403,132922.61327368603,171801.09051477685,158338.1408460472,201057.08379728082,140694.2837586626,175546.9853327771,128540.96177098395,,133607.2066427313,108486.68247683918,155407.44860187196,102009.55065794037,116400.8850219338,132233.1045857333,120161.1953705094,112701.54341951596,156706.0077783271,,139530.23668983555,137378.5664496089,113239.61187997491,102484.65630187308,124790.0190931548,89013.97034439252,89013.72483074636,99676.67230069482,75315.78650216252,125368.54396903457,,170080.90129288394,87410.79739770178,100750.01443138167,91562.5674784591,152763.4881834881,,84500.39001110135,109492.3114306534,118459.2269574243,94572.67070733094,109667.58296290482
2000-08-01,129164.17889872451,204615.29717180235,111509.02874505009,162346.10984409763,178611.87475900573,113686.82796396445,122889.22383477271,209484.06216494902,138906.78545564928,183221.87402032202,188482.48037207228,134012.96473181804,173383.06953111585,158809.89204627447,202399.57706598935,142246.98189257653,176154.6046781717,129400.88038953063,,135409.17739438513,108807.92747348169,156134.66243192353,102447.38369993732,116917.71461066375,132714.82647969676,120830.98558381097,112993.20457504243,157183.46470213184,,140408.9293311318,137578.52990790675,114088.07786177826,102782.40008193969,125467.39079393762,89309.52865787235,89401.55590236146,100173.50673165363,75656.05359631722,125762.7443036126,,171303.63410686803,87789.95164176747,101410.36893253126,91938.0926494351,153586.65232806583,,84856.55916730525,109329.96782162019,118684.03824677288,94922.33133279177,110200.88197507047
2000-09-01,130109.4131107517,207230.90057478243,112180.99627883015,163242.860647805,180420.53691429898,113960.3895304228,123759.29214717734,212460.006870929,139613.0891045275,184008.93040457126,190655.80779286977,135295.23729279186,174571.3765370349,159377.66228502322,203726.58136579802,143915.0953203228,176685.88393952456,130279.76572418989,,137272.04688431296,109173.79306804265,156877.88876020283,102893.49453728674,117451.27098507341,133185.00702162122,121571.46096646565,113341.6702552678,157584.94436265755,,141491.58108176943,137760.94141904954,114971.04143518799,103101.78399963379,126145.92572275305,89643.8190182598,89747.04260709847,100561.74432465494,75960.73853891832,126092.74569554896,,172591.05650090484,88210.77976679383,102075.25786065351,92289.846071628,154346.5112823506,,85180.32319689685,109556.13586092989,118958.64609430697,95287.06691457603,110724.88424040262
2000-10-01,131003.75809616607,209711.34124785764,112866.9702666343,164204.0595315999,182249.42649505194,114253.51600739399,124571.90007554006,215603.65395423095,140293.62598444836,184694.27069244676,192814.46421154335,136775.21352591508,174874.12513183468,160015.98183500717,205115.7394761391,145834.3968736618,177134.6346502035,131193.221402456,,139178.52644477953,109607.05379083588,157662.21061048598,103321.33121318922,117976.44503030831,133682.0912109038,122462.55509636835,113679.15239549508,157988.2288342398,,142576.7534662229,137702.45940640464,115805.81652359907,103468.26173254958,126810.3106781622,89979.64861348963,90226.38911986064,101037.04708291423,76312.15066753566,126411.39383281615,,173999.938314063,88603.92740021273,102782.07254986964,92649.46875926167,155025.06641445027,,85469.66986776463,109809.63310518935,119246.99192160193,95736.59386518679,111231.07846182182
